text,category,source,origin
Kemi Badenoch elected new Conservative leader – as it happened,Politics,Guardian,politics_subset_10k
The radical who left Oxfam to fight for democracy: ‘Eight men have the same wealth as half the world. Where does this end?’,Politics,Guardian,politics_subset_10k
Supporters gather after reports Assange may be ousted from embassy,Politics,Guardian,politics_subset_10k
"Half of adults in UK watched porn during pandemic, says Ofcom",Politics,Guardian,politics_subset_10k
Pakistan Election Results: Independents Backed by PTI Bag 101 Seats,Politics,The Quint,quint_politics_headlines
How a Madurai Ritual Pushed India Into a Judiciary–Politics Collision,Politics,The Quint,quint_politics_headlines
"Ravneet Bittu's Rise, Kangana 'Slap' Row: What Lies Ahead for BJP in Punjab?",Politics,The Quint,quint_politics_headlines
Nottingham attacks: Valdo Calocane’s ‘unduly lenient’ sentence to be reviewed,Politics,Guardian,politics_subset_10k
Geoff Fordham obituary,Politics,Guardian,politics_subset_10k
Sunak’s chief of staff and Theresa May among Tory peerages in dissolution honours,Politics,Guardian,politics_subset_10k
Australia’s media regulator to get new powers to crack down on online misinformation ,Politics,Guardian,politics_subset_10k
How a Nitesh Rane-backed 'Ban' on Muslim Businesses Has a Village on the Edge,Politics,The Quint,quint_politics_headlines
"‘We need real change, not fiddling at the edges’: voters on Labour’s first year",Politics,Guardian,politics_subset_10k
"'I Think Amritpal Singh Might Already Be Detained', Says Uncle Before Surrender",Politics,The Quint,quint_politics_headlines
Consuming cannabis in Thailand: what tourists need to know about marijuana rules,Politics,Guardian,politics_subset_10k
Macmillan accused of ‘betrayal’ over plan to axe cancer benefits advice service,Politics,Guardian,politics_subset_10k
Toronto Raptors fans boo US national anthem after Donald Trump tariffs,Politics,Guardian,politics_subset_10k
Fuel duty expected to rise by up to 7p a litre after the budget,Politics,Guardian,politics_subset_10k
"NHS is ‘struggling’ but ‘not destroyed’, chief in England says",Politics,Guardian,politics_subset_10k
Number of people on NHS waiting lists in England at record high,Politics,Guardian,politics_subset_10k
Nigel Farage stirs tensions in Reform UK as he ousts deputies,Politics,Guardian,politics_subset_10k
Ministers to review Channel 4 privatisation and scrapping of BBC licence fee,Politics,Guardian,politics_subset_10k
Caerphilly byelection could signal ‘fundamental realignment’ of Welsh politics,Politics,Guardian,politics_subset_10k
‘Why Kill a Muslim?’ Aryan Mishra's Parents Ask; Who Are Accused Gau Rakshaks?,Politics,The Quint,quint_politics_headlines
"Westley scores century against Yorkshire, Durham are punished by Surrey – as it happened",Politics,Guardian,politics_subset_10k
"AAP Leaders Manish Sisodia, Satyendar Jain Resign From Delhi Cabinet",Politics,The Quint,quint_politics_headlines
Rachel Reeves set to launch ‘blitz on business bureaucracy’ to save firms £6bn,Politics,Guardian,politics_subset_10k
Why Is Football Legend Bhaichung Bhutia Yet to Score a Goal Politically?,Politics,The Quint,quint_politics_headlines
Fugitive Indian tycoon Vijay Mallya applies for UK asylum,Politics,Guardian,politics_subset_10k
A Politician Sans Politics: Is Prashant Kishor a Third World Elon Musk?,Politics,The Quint,quint_politics_headlines
How comedian Michael Spicer hangs politicians out to dry,Politics,Guardian,politics_subset_10k
"BECOME A MEMBERCreated by potrace 1.16, written by Peter Selinger 2001-2019",Politics,The Quint,quint_politics_headlines
The greatest mystery of modern politics? Liz Truss’s self belief | Zoe Williams,Politics,Guardian,politics_subset_10k
‘Harper’s law’: killing emergency workers to bring life sentence,Politics,Guardian,politics_subset_10k
"Labour could win big with shift to right on social issues, says thinktank",Politics,Guardian,politics_subset_10k
Ex-Reform MP Rupert Lowe says Farage ‘must never be PM’ as CPS rules out charges,Politics,Guardian,politics_subset_10k
Phil Harvey obituary,Politics,Guardian,politics_subset_10k
"Liz Truss’s brief, tumultuous tenure as prime minister – in six stark charts",Politics,Guardian,politics_subset_10k
"UK must be less dependent on China for critical minerals, says thinktank",Politics,Guardian,politics_subset_10k
"Low psychological wellbeing may raise risk of dementia, study suggests",Politics,Guardian,politics_subset_10k
Britishvolt saga exposes the danger of short-termism | Letters,Politics,Guardian,politics_subset_10k
Immigration: how 14 years of Tory rule have changed Britain – in charts,Politics,Guardian,politics_subset_10k
"'Mi Papá': On India Tour, Che Guevara’s Daughter Remembers Childhood With Him",Politics,The Quint,quint_politics_headlines
"'Tell Everyone They Left Us in The Sea': Rohingyas Deported, Families Torn Apart",Politics,The Quint,quint_politics_headlines
The case for and against a vote for the Green party | Letters,Politics,Guardian,politics_subset_10k
Rishi Sunak to meet King Charles on Tuesday morning before taking over as PM and says UK faces ‘profound economic challenge’ – as it happened,Politics,Guardian,politics_subset_10k
Seth Meyers on Jared Kushner's failed coronavirus testing plan: '1. Have one',Politics,Guardian,politics_subset_10k
SNP chief executive Peter Murrell resigns amid membership row,Politics,Guardian,politics_subset_10k
"Keir Starmer among least leftwing Labour MPs, study finds",Politics,Guardian,politics_subset_10k
"Labour could investigate any claim of Jess Phillips ‘racism’, says shadow minister",Politics,Guardian,politics_subset_10k
‘Avalanche of fires’: what the front pages around the world say,Politics,Guardian,politics_subset_10k
‘Lesser of two evils’: voters in Sheffield Hallam look to Labour with reluctance,Politics,Guardian,politics_subset_10k
