text,category,source,origin
Woodland Skilled Nursing welcomes back professional wrestling to captivate residents,Wrestling,2023-10-13,news_dataset
Trophy and heartbreak: A day at the races with Charles Oliveira,MMA,2023-09-24,news_dataset
Portugal prove that gallant defeat is preferable to England’s robotic rugby,Rugby,2023-10-04,news_dataset
'Don't Put a Cap on Swimming' as it generates social value of £2.4 ...,Swimming,2023-09-22,news_dataset
Olmsted County to host DAV archery deer hunt,Archery,2023-11-06,news_dataset
"Kitchen Essentials: Slicers, Cutters, Mixers and more. Shop Now",Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
"French Open 2023 badminton: Live scores, stream, results and ...",Badminton,2023-11-03,news_dataset
Brisbane International Returns In 2024,Tennis,2023-09-17,news_dataset
Gymnastics stars edge closer to stardom with housebuilder's ...,Gymnastics,2023-10-17,news_dataset
"Baseball’s final 4, ranked by their World Series chances",Baseball,2023-10-16,news_dataset
"Mysuru's royal tradition, Vajramushti wrestling on Vijayadashami",Wrestling,2023-10-15,news_dataset
Quetta seal last-ball thriller to enter final,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
Dana White says Alexa Grasso vs. Valentina Shevchenko trilogy is ...,MMA,2023-09-25,news_dataset
Wichita State men’s basketball player absent from Shocker Madness no longer on team roster,Basketball,2023-10-09,news_dataset
Successful cycling and speed skating teams Jumbo-Visma to go ...,Cycling,2023-10-08,news_dataset
Da ottobre a dicembre il 1° European Virtual Table Tennis Challenge,Table Tennis,2023-09-21,news_dataset
Sources - Mets hiring David Stearns as president of baseball operations - ESPN,Baseball,2023-09-18,news_dataset
Andrew Conway: Ireland and Munster wing retires from rugby,Rugby,2023-11-09,news_dataset
Alberni elementary schools come together for final wrestling tournament of the season,Wrestling,2023-11-08,news_dataset
Young Worthing table tennis players make great start to season,Table Tennis,2023-10-15,news_dataset
Cycling: Cycling Club IoM women's team to make debut,Cycling,2023-09-16,news_dataset
2023/24 Freeski Big Air | Trailer | FIS Freestyle Skiing,Skiing,2023-10-24,news_dataset
Former pro wrestler finds new passion training horses in Louisville,Wrestling,2023-09-29,news_dataset
Lady Devils gives women wrestlers at ASU a rare place to compete ...,Wrestling,2023-09-21,news_dataset
Souders named DIII women’s basketball national coordinator of ...,Basketball,2023-09-23,news_dataset
Anthony Joshua ‘shows off cannon’ as he throws American football into NFL crowd at Wembley Stadium...,American Football,2023-10-06,news_dataset
VIP Baseball: Latest run of commitments,Baseball,2023-10-23,news_dataset
"Sports/Feb 1, 2025Gukesh becomes new World No. 3 as Pragg beats top seed Caruana",Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
"Australian skiers admit 'dishonest' ski passes, ski area employee ...",Skiing,2023-09-24,news_dataset
Fantasy basketball waiver wire pickups - Steals plus blocks equal Herbert Jones - ESPN,Basketball,2023-11-26,news_dataset
Leclerc hopeful of fighting for hat-trick of Monaco poles as Sainz stresses FP2 crash ‘won’t affect’ his confidence,Formula1,2023-09-15,news_dataset
VideoWomen who play baseball will once again have a league of their own1:19,Sports,CNN,sports_politics_data
Class Of 2024 Standout Ty Watson Commits To Penn State Wrestling,Wrestling,2023-11-11,news_dataset
Difference between compound and recurve archery,Archery,2023-09-17,news_dataset
Deontay Wilder's coach thinks Tyson Fury was forever changed after trilogy with his trainee,Boxing,2023-11-06,news_dataset
"Firsthand: S'porean athlete, 21, explains why shelving studies after ...",Table Tennis,2023-10-07,news_dataset
Archers capture Premier Lacrosse League championship at Subaru Park,Archery,2023-09-30,news_dataset
Kläppen Snowpark Opens Autumn Park Following Successful Snow ...,Snowboarding,2023-10-10,news_dataset
Gaming And Esports In The Mainstream: Felix LaHaye Of United Esports Seizes The Opportunity,Esports,2023-11-14,news_dataset
College football best and worst awards after one month,Football,2023-09-29,news_dataset
Huskers Announce 2024 Women's Gymnastics Schedule ...,Athletics,2023-10-12,news_dataset
"Jessie Diggins: Championing well-being, resilience, and joy in cross ...",Skiing,2023-11-26,news_dataset
NZ hailed for ODI rout of world champions,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
How to utilise citrus fruit peels,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
Fencing around parts of US Capitol ahead of Israeli-Hamas war protest,Fencing,2023-10-24,news_dataset
Open Fiber to sponsor and connect Alpine Skiing World in Cervinia,Skiing,2023-11-10,news_dataset
"Rugby World Cup 2023: Ali Price on butterfly tattoos, beating Ireland and becoming a dad",Rugby,2023-10-07,news_dataset
"2023 Hall of Fame Series: Schedule, scores, results on college basketball's opening day",Basketball,2023-11-07,news_dataset
MRC and Belfast's Tennis for Fun teams excel at Special Olympics,Tennis,2023-10-11,news_dataset
Fireballs take Jeddah team title for 2nd win of season,Golf,2023-10-16,news_dataset
"State Archery Championships kicks off, NSA win 2 gold medals on Day 1",Archery,2023-11-10,news_dataset
Surfing's Only Genius: George Greenough According To Australian ...,Surfing,2023-10-18,news_dataset
Rugby World Cup brings billions to the French economy,Rugby,2023-10-28,news_dataset
"Derek Brunson and UFC part ways, fight with Roman Dolidze scrapped",MMA,2023-10-09,news_dataset
Inzamamul Haq steps down as chief selector of men's cricket team,Cricket,2023-11-01,news_dataset
Francis Ngannou predicts Jon Jones vs. Stipe Miocic at UFC 295: ‘Stipe doesn’t get the credit he deserves’,MMA,2023-10-24,news_dataset
Skiing in Japan Is Getting a $1.4 Billion Upgrade Close to Tokyo,Skiing,2023-10-31,news_dataset
Chelsea face Man City in fifth round,Sports,https://www.bbc.com/sport,historical_timeline_sports
Wickenheiser takes rightful place in Sask. Sports Hall of Fame,Ice Hockey,2023-09-23,news_dataset
House approves bill striking down Biden's crackdown on hunting and archery in overwhelmingly bipartisan vote,Archery,2023-10-24,news_dataset
Huskers Unveil 2024 Baseball Schedule - University of Nebraska ...,Baseball,2023-09-22,news_dataset
I was homeless and mopped MMA gym because I couldn’t afford to pay – now I’m a top contender sponsored by C...,MMA,2023-09-22,news_dataset
Volleyball Falls to No. 15 West Florida on the Road in Four Sets,Volleyball,2023-10-07,news_dataset
FSU basketball tips season with exhibition game against Flagler College,Basketball,2023-10-30,news_dataset
"Milk, too, will be dearer from February",Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
American Football (Taylor's Version): What's up with Taylor Swift and ...,American Football,2023-10-31,news_dataset
Olympian Maggie Voisin Lays Out Huge Backflip For New Film,Skiing,2023-10-18,news_dataset
Pro Team athlete beat the entire Swedish national team skiers,Skiing,2023-11-09,news_dataset
Abbott to hold annual baseball skills camp at high school Dec. 9,Baseball,2023-11-25,news_dataset
Shanghai Major is expected to boost esports' popularity in 2024,Esports,2023-11-16,news_dataset
"Vijayapura Wrestling Match: ವಿಜಯಪುರದಲ್ಲಿ ಕುಸ್ತಿ ಪಂದ್ಯ, ಜಿದ್ದಾ-ಜಿದ್ದಿನಲ್ಲಿ ಗೆದ್ದವರು ಯಾರು?",Wrestling,2023-09-21,news_dataset
"Prizes shared but Novak, Serena still rule",Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
Over-thinking only brings frustration: Naman Ojha,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
"PSG sign Mbappe, 18, on loan - can make it permanent for Â£165.7m",Sports,https://www.bbc.com/sport,historical_timeline_sports
"Flint-area regional volleyball results, updated backets for Nov. 8, 2023",Volleyball,2023-11-08,news_dataset
Boris Johnson given green light to build swimming pool,Swimming,2023-10-01,news_dataset
Canadian para athletics team nominated to Santiago 2023 Parapan ...,Athletics,2023-11-08,news_dataset
