experiment,model,feature,class_label,precision,recall,f1_score,support
linear_svm__bow,linear_svm,bow,Politics,0.9620958751393534,0.9390642002176278,0.9504405286343612,919
linear_svm__bow,linear_svm,bow,Sports,0.9404888416578109,0.9630032644178455,0.9516129032258065,919
logistic_regression__bow,logistic_regression,bow,Politics,0.9636963696369637,0.9532100108813928,0.9584245076586433,919
logistic_regression__bow,logistic_regression,bow,Sports,0.9537136706135629,0.9640914036996736,0.9588744588744589,919
multinomial_nb__bow,multinomial_nb,bow,Politics,0.952433628318584,0.9368879216539717,0.9445968184311574,919
multinomial_nb__bow,multinomial_nb,bow,Sports,0.9379014989293362,0.9532100108813928,0.9454937938478144,919
linear_svm__tfidf,linear_svm,tfidf,Politics,0.9546436285097192,0.9619151251360174,0.9582655826558265,919
linear_svm__tfidf,linear_svm,tfidf,Sports,0.9616228070175439,0.9542981501632208,0.9579464773347898,919
logistic_regression__tfidf,logistic_regression,tfidf,Politics,0.9481081081081081,0.9542981501632208,0.9511930585683297,919
logistic_regression__tfidf,logistic_regression,tfidf,Sports,0.9539978094194962,0.9477693144722524,0.9508733624454149,919
multinomial_nb__tfidf,multinomial_nb,tfidf,Politics,0.9465065502183406,0.9434167573449401,0.9449591280653951,919
multinomial_nb__tfidf,multinomial_nb,tfidf,Sports,0.9436008676789588,0.9466811751904244,0.9451385116784357,919
linear_svm__ngram,linear_svm,ngram,Politics,0.9532608695652174,0.9542981501632208,0.953779227841218,919
linear_svm__ngram,linear_svm,ngram,Sports,0.954248366013072,0.9532100108813928,0.9537289058247143,919
logistic_regression__ngram,logistic_regression,ngram,Politics,0.9481081081081081,0.9542981501632208,0.9511930585683297,919
logistic_regression__ngram,logistic_regression,ngram,Sports,0.9539978094194962,0.9477693144722524,0.9508733624454149,919
multinomial_nb__ngram,multinomial_nb,ngram,Politics,0.9434782608695652,0.9445048966267682,0.9439912996193583,919
multinomial_nb__ngram,multinomial_nb,ngram,Sports,0.9444444444444444,0.9434167573449401,0.9439303211758302,919
